page_id,unique_ads
4ff23a48b53d988df50ddfebb0e442a984ab8f94e874ef9b9cb34394e0c5d230,33
b9eb7e353e596d5fc99568d4ef77d4b11ced3243537cbd0895dde3195b69b6be,3
7167146d80bba9d877a246d9682c7eecf3cae7b63337cf8ec01fff2eff27c909,7
8109a1809ae54265da9ab4b69f5e7f6c3c42d013a07f643513875ebc1f73e8d3,1
bb8759172b28450769f79e10c63a64ae09b986a7eab109eefb3ddff8c39886ad,179
062a73845194a53a226450fa498e9a48ff6683ee1f559058a1ccd4d70707581f,118
352c4c72b84fdf2c4eb02dfeaad77b5629d83fbb4997873a440e3e60a250acf9,81
66dbd85261d199af2e22a60a56b02e520d2bd66256eb7b617308a777e4f34f22,2203
81ceea6f9733174050ee2e77a344fa69789bf271da922e69864e685e37ebec79,17
ec8ac6dc1cddc49972de2c31b62343fe3979729ec437c3b8d6ffa8915ab1401d,9851
ad62fd374712275540f09bfee14293250b09adbae45cb8cb6c69dc97bec002e5,34
7149b48373596dd3cef46a45c3f30196dd329d5e51de8a2ca0eaa639928f5bda,2
0422d61070e4ba0f6b223445ea22537f6f825784a6b386b26b3d6ae1744a3d25,12
352a5b403121115fa725d0141c9e757decc79d5626d8ea052cda0db810630098,1
b34cf0e89ed7ea587e929c2bded62d2924bcc58678dda4e58bc023abaf763f48,6
9fd4ef6b24c49e2d4ef97ca887e76a33b8dbc0d38124a6c718b499e5956b81a3,57
b70ce423d71fba3ad72612e3a1f37d38a1135452768b78c6c2a661453e949143,22
14c00e997b81fcbd350ea99680bab58f9e4a9bff407e809db8f034848fcb7ae5,1
bf135ef3741e35de845bb9a506ae4a898baed40410d282d46afdb6fcec2c1871,6
a8a72c4fa7d48811c4c40d41c247dac9519cfac795b7144fb4ce363e4090261e,2
fc40350745e07782498315e5b9a604185f7bc191518e8088cc1e948eba36a413,5
fe6ab389a5caf9acbb2d33859466506b8b175193b823203b511f1918ab159c7f,6
5719dbfafc8404b1af43ebd9b7b413e2a4172946a2d5ca09fbd7607ea5fd9fd2,8
1c24fb27a5937ee19b32fe3445f59e9ca1e59c4d41232cfe6187100baf1b6d29,6
445924ce6d25c8b935f4c22fc800f72b95c8370a2a26b32a45fd97aace5578b4,132
3bd2191e15fd45d4db836b8f3c72b3433ffd0d2424e8f7159e5ce18958c1d29d,2
c4b4fe48a93e2bd79f60b7284a179a6510da50280b56f2b6b8bf6b0aed82102a,386
c41f8336afdb402019efa70d11d361c5edc846b873fef1b5f401c661142d7c26,14
3935eeee34664b673a25edf8b4206f9bd3026adbe66fc8d046399aacd91ab93e,1493
e72b0bc888a35870b4eac7a5054aea287b0ca949af48157f5df6a83f4086c2e6,1
00b4d9a86205a7aae88b281ce141f7f1de3cb351a691ad93c2ba1811114fa84f,55
0005687f4ac876c135dda2bd5aa60962eced3356228ef01c21c514d263a11128,2
e8e2f052f075d8588ef7d4ab9d5384abe5b5de76a037a80ca872246736328b1d,6
0a54a670a859623c5177e3884eec4b9353ed30fe02f1f9be47d12f9570297e42,2
4d66f5853f0365dba032a87704a634f023d15babde973bb7a284ed8cd2707b2d,55503
19ab0dfc0ac8cd43df84a6ccffad5c3b1972fcfd4453bff95f51301aa5c36940,3186
1db2694134b04c2f787731842b2a171f38f44cb36fd41f5464867d28fcabfb57,2
17677c2076e380e003e1142b0b13a45c478833227da2037f444d594d9e4c4a22,118
72a1edeb5f0381eca3195f64038a345df601cd5fe25ed3bfe5a413abd3f054eb,17
53a74049e9ff3c4276f15cb0dc6d35c93e830c25a5eee6f3d914321922913415,2814
41047a79631ed0568303b784749fc1773e435560f3e152bd7bae0008ac3e6357,1
c5472da680a302eb0afd9028caae1372da36792eb7300e9dd21d2f69f6b4f706,9
ca7923d05e02f2f748ab7897dfa7276d115779fa38001d6c5d30c673cfe249d9,1
88d79cc52132f8dcaf91d99682e80ce16a51a23f2aedca9edecc54003c0656c0,4
8217774e8ff63d16aaf5b2b2bb8c45d23b12fb144c127688a158710941ad50c5,1
14710fe93a8c6c4512c86baa53c5713b72e0e74f7be4fc40feb6cc1c20d732e8,2180
d46be6146feba33b5fd538ae85ded01b0393c7ee2c1e4525572bbacca4f28cc9,1243
9090e0cc85bfd7909ff73ed7796f0c5bfc0b34007657225fcdcfb278821dad2c,122
315d8edcb37be3f4574cefc76ad0e8661a8824a647353a38bcefd7649606cd53,719
221d220b5e31009f19eb7833325c2d6b07c7d1658d591030ca1713d49df586ca,152
ccca9de8a5626bc2299196f11d04d28f914038b5d1382867fc80bc4f233d196a,10
85e27d65840a02d3741b75a7ea712dc616ca22c8ddb240bd93beb43cf9e0510b,2
2e9687aa738093da4b9440781dfa634fb10ded8406db35ec8b6f5cc992dc2423,29
5c1e9e550f04d293e5790db69373ffd01414187bf2e8719606684d489a3c8cb2,69
f5e70cf2897f1b67952715ccda95103ccde41957910b930259be0212d4d36716,1
330b2f35ded2161e63fbb2b5c5bdae05bff274ff31f990c275d28ce408671ce0,10461
7632da517870cd28c5d2fd9c89944a6cd249d7065376e5aac3abb44767016240,2
e273ecb793e5d3483e6f387a13c7ffa5be01c385b0539d7d4ece4caea699451b,6
7b1baf04f7664d6db2ff7908347898635228988928bd4b219edef30e1039316d,274
e1d83130ff3ed6771b76698991e59a5d342f3d4511ab3045819c2e6555c92d67,6
3626e7b78eb8480113d9925c82efaf50f0b8ec61caa60b922f2337e39bb906c7,23
6d60b441b1672da5c95519bd9f221d4c8d0d5a8dda15b0f6d95592f5ab717a4f,99
64ee90468e8734044535cf422c71925c23a9aa6c4f82837b5b5d6d0e97028ac9,9
6c1b73a8020af2db0abf7b2e2d224015c6ab94ec2e44a10f4c6583d5172df014,190
de9df9fe9935e07e2df39adac5ea345729d73b2d8f91556b7eb0c4215019af15,8
d94a81f257b176769969a23c518dfd1d1335b1b160b12e540fd0d1bbe1d0756b,7
1449186543a6744e0e4a6cc0b3e1ae7c0ea84c74b00e221c7d7382c2a1c71947,24
c2c11ec199cc89307f34af0b6d891f1997349f32569c38893097534e999848b5,65
1f1e4d6cd4bd3579f7bad1728a05aed07601ac3f9cc576475d5cb5a90be379a9,31
dd9c8bfa3d6c0138d307ef6c6924465b0a2a9a28a9671f71efa2768506f60dce,2
37040a06f7e217a9b0a375df9df39c99a07a8f8edc27fcb5d2e96d9a8cf2e384,1
a23468a8e7363c6c1121855ad649b8ab227b7b5e01df67fca4871e13055b03a0,13
77a2a364dfcd28066fa9adc169413ec44dc54cc78eb117b0a71b8adaaa959e4d,6
3147d4ec9bc0a16f6d07968624cf7be7c1a9e34f51cb0563ba68e9aa220dbac8,3
8fd149ef2ea39eb2144e3a7772815ada24a92ebbe6d95b7b8a4412ebf243dd91,1
650b621a9f76c6b05d40dacc1106da9777a76d5b4a571e60dfa6a4137151946c,70
c5728dbf6f860c0fe9722cb42f5273ec659d701ebf68f3e1d7b63da7958297ee,3625
047380690d7f40ea8086a499225aff8142d1708b3d67117c7af9ded501417081,1
e3342051b60393770363ffc02946a0f76bc3e4155190d1f05fb0277b34bf6480,23988
d4f67c51de0e78ca5642110f606a75acbfabfdbd3e3c0fbbd31fba395342e38e,1075
dc4ba48b50cbcdd0572591be4baf5a4f8326a0bc6511a30fbc4cd794f13a6462,1
c8a2bdbf3205e0215660a773e861af86561a3439bf2b4e9918bb01d9c605cf31,31
a23204c5b3f095243ca21083c5c86a31deb01a1ff8952794c0c021d6a331bfa0,471
03a0f740cc5776ef93ad6b687d4d9529fc898547613ea2c9bcf5d6417845e38f,3
ba2d483decb42f196715bf2f44a5bb6c1974b4bf86979662bca33914c6b7a579,1
064063f12ecab3c89702c3e7d652b368acba4e585eee57ca87a6b53a5e4117dd,515
bc39765e3fe3f809273f5977d73451d6c89cd2c22fd371178abc33869f3840cf,583
e363f6db274aa711d4f3740a0c67e16e92098d69ab2c5edd0217e87415c48921,73
6f48c6b6927490b8c410a5e12c590ad9a27b8d6733c7d0103f04d51db872408e,496
d5e34f50f12794cfb61219c5a779b115bc084f85902943ac0ec35733f37835b5,1
ca72fad7b074b97ecf63ae3cda04966b17ba3bb73b89b908e15f027c77411cf5,25
cddf08d2812780ec072f52349e718ea4184913baa61ad74574e5b302750605e4,2
49e3daf4c6700e05aa529b5a33c66fef72d22588dc4c3123eb65a0cb5074f2d9,89
12cd8998a61e224115dc2dbbe440625e578c887cc358c74b8405633a0ef26c13,38
38a67b7929416a5aaa2ae82a8c0ec86a8f250153acfa049a95e155b594cde696,12
3de419a2278521577b801787d87658545bf40ad7209afb23df7a5bdb94585ad0,34
5a60438f02a2bb11917eccdd546e7887bd45cb8933251c87f09756f96e7ae04a,605
34318e6a8533c372aa4309deb81f87019dea97aae893a7b3c9535c3b33afdc9e,6
0541fc1aaaf75ed8f94dfab58954ddea60c98d3e095cf43abd3178e80e260d82,576
d9705067e8dc7cf930c4cc7b44cfc4dfffdfe89db85aeeeb4f8833224a9f08f9,142
b7f8a01f3e3494ea3bbda76c5e069e2dea7c3f3e16932ee555d30e41211f4c0b,47
c63c43f80b59e91304ac402dfbcf42e3f81f3fdd4d33dbd4412f2adc9ede913d,37
695eb214a27ca0a48b585b3ac6cdfbb12dcb866fc5d87f62a00bd9eac5087580,305
e3ee066f4a12968ba94847059a03c33965ca4eb1ead0f6f01d6f6ae65adb4841,6581
bfc96db4529902551a6e59407780c0117adc5c0dc4b3025d112e412c464db472,2
32eff1b4686416ae44043b82fdf4f755f8cb5c249cde758a0192080f8849d19c,1
8d7501abc37f0e0dac075d8f0f5dd3d850283f8601b2eb49f1b950185ebdbb0d,1
eb4245c44d1630df593e0f0bbabe45cb12f9dce1415147f7a1af34fd3eb543c8,1
b15bd65bed1030152f13772992d282cd9b35e6d63eb55aff5ea80677f039b88b,2
381ed97551d3641e58f2dc8b3fb673d7fa2da2813d364cdbdbe0c1ffc1c1cb1f,1
0d081e611d5a0b17e8ac2ca625f578af4ab0bdc5eda40ab51f8802df64d46297,1
a5d4180d3b85b15658e85958d13ccee29d5411bf223be55c5471a3fa785be272,2111
2f80928abe7482f4db8af9af2f1edca7ba2e0f32463ed554cf2c22b93358dd6a,177
77da0f4a37f2d7421e91757d4bae191732e02bb00fc7f8217f81900342c5ceed,51
4c09f51b0b72045c8ccd366af08c5bb9a9cd1394600c85f628545558f09a718b,163
ffdc5a5665645ebb63dc8483c026f6d8d75a88baa5e624f8d034d518cf9b939c,11
69fe4fc414e51db4d67ee202247f288911ca8c4c135b0cc1397931aa494f306d,7
7a346e7ea77bc8bb09acf16e00f05f8e198b2fb2fc4a6a373b34cd66ea86e438,20
0ff9bad9ac3ace8cc77ca78b58b945c175cbcd2e08c09bcafd5ebbd0e58d1817,1
91303d144978acf23f66b39fd65392c86851a0a7724c6905ed14d9ae771cc202,1
cd15bc4baa44eb8d538b4374313067898e80cb385823850fa9c3f6b9d8c90357,1
1ecf81b4bfae9d92c95f59efc8460f8b0c065bd558d88912da3dd17ea2941977,110
c0e307c7078a42b180f148853832befdf6ef139dc201654c4e6740d4618b76ac,86
7ca902bb73453b717486201b59e8861b198a57a81457ad4e3deac21cad5d0b11,25
8f6f42e5a7823a2c5f05711e3bd629d3aa77c8e400e040a1a92616eba55f8d59,43
d3638e5e747045405763b8d4349ad5d9c0350f8ca2e6fd2d84ffece33f8169cb,15
f372dfde446ca13dc6c3d676b13cb18acb0291580757c8bc6583bc4ffb04b011,26
04df4069408580c1b41901cd7549d4a468d1e36db738bd1c487b245b130e90a9,458
1e9dd2fac5ff227099daa417c0818803340cc294ec2dd474adb3a18ff7d7ac88,33
cdcd9c3579b066c8c07fd9ecd60b17c710cfcc7d6f2ef0ab5e09509eb9b22426,69
14d0353a82ecb08c91a04eb9b62c9ac266e3b1fa208183db6729172390cc0632,22
8e6081f2d9688b5ef5c80a511d48e350f0dca0c318e829fd616263493d0d72f9,10
